0,CombatZoneResize,113,231,548,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.2,sanstext,continue,,,,,,,
0,Platform,151,336,41,0,90,1,,
0,HeartTeleport,175,327,,,,,,
0,BoneVRepeat,528,366,40,0,60,60,15,
0,BoneVRepeat,283,268,40,3,90,12,65,
0,BoneVRepeat,363,325,40,1,120,11,90,
0,BoneVRepeat,443,268,40,3,90,12,65,
0,BonehRepeat,650,296,40,0,60,60,65,
0.5,SET,Loop,15,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,29,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,31,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,33,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,35,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.03333
0.53333,JMPNZ,14,$Loop,,,,,,
1,DamagePlayer,-15,1,,,,,,
0,EndAttack,,,,,,,,
